customer_id,age,gender,city,subscription_type,signup_date,monthly_spend,satisfaction_score,review_text,churned
100642,46.0,female,Санкт-Петербург,standard,2024-03-11,860.6298995927629,3.0,Доставка была средней скорости,0
100303,48.0,male,Санкт-Петербург,standard,2021-05-29,946.2156011907269,5.0,"Быстрая доставка, буду заказывать ещё",0
100370,48.0,male,Москва,premium,2024-06-28,2578.4389486596615,5.0,"Прекрасное качество товара, рекомендую",0
100494,43.0,male,Нижний Новгород,basic,2021-12-31,854.2063607159726,5.0,"Очень доволен покупкой, спасибо магазину",0
100580,42.0,female,Санкт-Петербург,basic,2021-12-23,1126.989978560051,3.0,Доставка была средней скорости,0
100055,32.0,male,Москва,standard,2021-04-09,2207.276773834397,5.0,,0
100646,,male,Екатеринбург,basic,2024-07-01,1113.6798928169637,4.0,"Быстрая доставка, буду заказывать ещё",1
100258,33.0,female,Новосибирск,standard,2024-03-10,1409.0666013087,1.0,Обслуживание оставляет желать лучшего,0
100082,30.0,male,Казань,basic,2021-04-13,1287.5360395468406,4.0,"Отличный сервис, всё понравилось!",0
100479,38.0,male,Екатеринбург,standard,2024-05-15,984.7114010902405,5.0,Рекомендую этот магазин всем друзьям,0
100056,30.0,male,Новосибирск,basic,2022-10-24,,3.0,Товар в целом соответствует описанию,0
100640,44.0,female,Екатеринбург,basic,2022-04-19,892.3335955004561,5.0,"Отличный сервис, всё понравилось!",0
100482,55.0,male,Санкт-Петербург,basic,2023-03-25,872.7444523880793,4.0,Рекомендую этот магазин всем друзьям,0
100078,40.0,female,Москва,basic,2024-03-22,806.7984188199058,1.0,Не рекомендую этот магазин никому,1
100236,30.0,female,Казань,premium,2022-06-11,3860.1463851286526,5.0,Рекомендую этот магазин всем друзьям,0
100278,25.0,other,Москва,premium,2024-10-11,2580.9341056281637,2.0,"Ужасный опыт, больше не закажу",1
100305,37.0,female,Казань,basic,2023-02-10,602.759528862187,4.0,Рекомендую этот магазин всем друзьям,0
100631,57.0,female,Москва,basic,2021-07-11,785.5778605387685,2.0,Не рекомендую этот магазин никому,0
100091,46.0,male,Новосибирск,premium,2022-02-21,3079.957360774511,5.0,"Отличный сервис, всё понравилось!",0
100458,28.0,other,Москва,standard,2024-10-03,895.2333952629533,2.0,"Долго ждал доставку, очень разочарован",0
100193,33.0,male,Москва,standard,2023-09-02,2103.0541972562814,2.0,Не рекомендую этот магазин никому,1
100221,35.0,male,Екатеринбург,standard,2021-03-25,1663.2632449651935,4.0,Рекомендую этот магазин всем друзьям,1
100391,16.0,female,Новосибирск,basic,2023-06-10,293.6118447488068,3.0,"Нормально, но есть куда расти",1
100146,33.0,male,Москва,basic,2024-06-25,504.9182246336965,4.0,"Быстрая доставка, буду заказывать ещё",0
100165,48.0,female,Казань,basic,2023-03-27,575.7826246044897,5.0,"Очень доволен покупкой, спасибо магазину",0
100119,57.0,male,Новосибирск,basic,2022-06-10,688.9948678537219,4.0,"Отличный сервис, всё понравилось!",0
100064,45.0,male,Нижний Новгород,basic,2021-06-04,,3.0,"Нормально, но есть куда расти",1
100520,58.0,male,Санкт-Петербург,standard,2021-02-05,47000.0,3.0,Товар в целом соответствует описанию,0
100275,57.0,male,Москва,standard,2021-02-09,1862.4001756559128,4.0,Рекомендую этот магазин всем друзьям,0
100590,57.0,male,Екатеринбург,basic,2021-01-11,286.9998569406589,4.0,"Прекрасное качество товара, рекомендую",0
100629,26.0,female,Нижний Новгород,basic,2024-05-01,726.9253261408335,5.0,"Прекрасное качество товара, рекомендую",0
100082,30.0,male,Казань,basic,2021-04-13,1287.5360395468406,4.0,"Отличный сервис, всё понравилось!",0
100332,46.0,female,Санкт-Петербург,standard,2023-12-17,2672.364678782911,5.0,"Очень доволен покупкой, спасибо магазину",1
100560,27.0,male,Москва,standard,2024-11-14,1397.7581081700644,,"Быстрая доставка, буду заказывать ещё",0
100110,17.0,female,Москва,basic,2024-05-31,509.5873160746318,5.0,"Прекрасное качество товара, рекомендую",0
100285,25.0,male,Казань,premium,2024-04-06,3861.067232939732,4.0,"Прекрасное качество товара, рекомендую",0
100064,45.0,male,Нижний Новгород,basic,2021-06-04,,3.0,"Нормально, но есть куда расти",1
100102,54.0,female,Казань,basic,2024-04-09,,5.0,"Отличный сервис, всё понравилось!",0
100465,25.0,female,Санкт-Петербург,basic,2021-01-10,900.877479146271,5.0,"Очень доволен покупкой, спасибо магазину",0
100077,33.0,female,Санкт-Петербург,standard,2023-04-03,1246.588904061599,,Не рекомендую этот магазин никому,1
100585,47.0,male,Москва,standard,2022-02-10,1454.4632239789612,5.0,"Очень доволен покупкой, спасибо магазину",1
100011,49.0,other,Новосибирск,standard,2024-05-01,1637.736481375258,5.0,Рекомендую этот магазин всем друзьям,0
100508,43.0,male,Москва,standard,2021-08-25,1880.2175417406152,5.0,"Отличный сервис, всё понравилось!",0
100261,35.0,male,Новосибирск,basic,2023-01-13,772.6600656672599,5.0,Рекомендую этот магазин всем друзьям,0
100345,57.0,female,Новосибирск,basic,2024-01-05,1162.3689639488757,2.0,"Плохое качество товара, не советую",0
100260,22.0,other,Санкт-Петербург,basic,2024-06-23,1000.5475826926987,4.0,"Быстрая доставка, буду заказывать ещё",1
100032,33.0,male,Екатеринбург,basic,2023-04-20,555.2575555084487,3.0,Доставка была средней скорости,1
100480,69.0,male,Москва,standard,2022-08-23,1614.4031384948512,3.0,"Могло быть и лучше, но сойдёт",0
100491,51.0,female,Санкт-Петербург,standard,2021-01-25,1465.9739587783918,5.0,"Прекрасное качество товара, рекомендую",0
100355,51.0,female,Казань,basic,2023-06-07,595.3536524876432,3.0,Товар в целом соответствует описанию,0
100266,50.0,male,Нижний Новгород,basic,2023-02-06,900.4397778920923,5.0,"Отличный сервис, всё понравилось!",0
100527,55.0,female,Екатеринбург,standard,2021-10-10,1428.1299186058363,4.0,"Быстрая доставка, буду заказывать ещё",0
100445,34.0,male,Казань,basic,2023-11-16,791.6769799955384,5.0,"Очень доволен покупкой, спасибо магазину",0
100361,36.0,male,Новосибирск,basic,2023-04-15,476.0318210490281,4.0,Рекомендую этот магазин всем друзьям,0
100300,42.0,male,Санкт-Петербург,standard,2023-08-05,1129.072303615257,3.0,Доставка была средней скорости,0
100481,41.0,male,Санкт-Петербург,basic,2023-08-09,732.0408010672386,4.0,"Прекрасное качество товара, рекомендую",0
100003,,male,Москва,basic,2021-03-29,720.2137917584552,5.0,"Очень доволен покупкой, спасибо магазину",1
100212,22.0,male,Казань,basic,2023-03-22,1283.179149150704,4.0,"Прекрасное качество товара, рекомендую",1
100133,46.0,other,Санкт-Петербург,basic,2021-12-10,309.26521687884303,5.0,"Прекрасное качество товара, рекомендую",0
100577,54.0,female,Москва,premium,2022-04-28,1874.0826257688573,5.0,"Очень доволен покупкой, спасибо магазину",0
100073,27.0,female,Санкт-Петербург,basic,2023-04-06,1268.226435844806,4.0,"Прекрасное качество товара, рекомендую",0
100182,41.0,male,Москва,basic,2024-12-17,1298.4107182061657,3.0,Товар в целом соответствует описанию,1
100134,35.0,male,Казань,standard,2024-12-11,1011.8119362548281,4.0,"Отличный сервис, всё понравилось!",0
